name,company,year,Price,driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.00,45000.00,P
Mahindra Others CL550 MDI,Mahindra,2006,425000.00,40.00,D
Maruti Suzuki Alto 800 Vxi,Maruti,2018,0.00,22000.00,P
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000.00,28000.00,P
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000.00,36000.00,D
Ford EcoSport Titanium 1.5L TDCi,Ford,2015,0.00,59000.00,D
Ford Figo,Ford,2012,175000.00,41000.00,D
Hyundai Eon,Hyundai,2013,190000.00,25000.00,P
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.00,24530.00,D
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.00,60000.00,P
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.00,60000.00,P
Maruti Suzuki Stingray VXi,Maruti,2015,315000.00,30000.00,P
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.00,32000.00,P
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000.00,48660.00,D
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.00,45000.00,P
Mahindra Others CL550 MDI,Mahindra,2006,425000.00,40.00,D
Audi A8,Audi,2017,1000000.00,4000.00,P
Audi Q7,Audi,2014,500000.00,16934.00,D
Mahindra Scorpio S10,Mahindra,2016,350000.00,43000.00,D
Maruti Suzuki Alto 800,Maruti,2014,160000.00,35550.00,P
Mahindra Scorpio S10,Mahindra,2016,350000.00,43000.00,D
Mahindra Scorpio S10,Mahindra,2016,310000.00,39522.00,D
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000.00,39000.00,P
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.00,55000.00,P
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.00,55000.00,P
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.00,55000.00,P
Maruti Suzuki Alto 800 Lx,Maruti,2017,190000.00,72000.00,P
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000.00,15975.00,D
Maruti Suzuki Alto LX,Maruti,2008,95000.00,70000.00,P
Mahindra Bolero DI,Mahindra,2017,180000.00,23452.00,D
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.00,35522.00,D
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.00,48508.00,D
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000.00,15487.00,P
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000.00,39000.00,P
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000.00,39000.00,P
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000.00,82000.00,D
Renault Lodgy 85 PS RXL,Renault,2018,689999.00,20000.00,D
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000.00,68000.00,D
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000.00,32000.00,D
Renault Duster 110 PS RxZ D Plus,Renault,2012,501000.00,38000.00,D
Renault Duster 85 PS RxE D,Renault,2013,489999.00,27000.00,D
Honda City 1.5 S MT,Honda,2011,280000.00,33000.00,P
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.00,60000.00,P
Maruti Suzuki Dzire,Maruti,2013,349999.00,46000.00,D
Honda Amaze,Honda,2013,284999.00,46000.00,D
Honda Amaze 1.5 SX i DTEC,Honda,2015,345000.00,36000.00,D
Honda City,Honda,2015,499999.00,55000.00,P
Datsun Redi GO S,Datsun,2017,235000.00,16000.00,P
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.00,36000.00,P
Others Pajero Sport Limited Edition,Others,2015,1475000.00,47000.00,D
Mahindra Bolero DI,Mahindra,2017,180000.00,23452.00,D
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.00,35522.00,D
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.00,48508.00,D
